iter	R2	RMSE
0	0.03552844518	4.342899616
1	0.06498520636	4.276065217
2	0.08821448049	4.222614401
3	0.1204370597	4.147329495
4	0.1422887019	4.095487876
5	0.1724896687	4.022738403
6	0.1969913549	3.96273645
7	0.2251067205	3.892745635
8	0.2429071456	3.84777486
9	0.2693060587	3.780096026
10	0.2874592366	3.732844825
11	0.3087638192	3.676616316
12	0.3277430011	3.625790823
13	0.3429737557	3.584482281
14	0.3592967517	3.539676252
15	0.3752142233	3.495430298
16	0.3943971656	3.44135146
17	0.4094426113	3.398334566
18	0.4229404849	3.359273643
19	0.4372768075	3.317282721
20	0.451256962	3.275816687
21	0.4677069598	3.22634253
22	0.479638888	3.189976588
23	0.4951784651	3.141984337
24	0.5077201253	3.102709532
25	0.5199502036	3.063925662
26	0.5329073565	3.022293192
27	0.5445116895	2.984514527
28	0.5558277274	2.947208095
29	0.5668626324	2.910367993
30	0.5816906985	2.860117268
31	0.5920830704	2.824365801
32	0.6022172568	2.789061228
33	0.6109784905	2.758175437
34	0.6206432438	2.723698244
35	0.6300678883	2.689652015
36	0.6381914006	2.659956422
37	0.6497367132	2.617172742
38	0.6616304638	2.572353837
39	0.6692512147	2.543221627
40	0.6774682549	2.511431357
41	0.6854811531	2.480038464
42	0.6939622606	2.446372419
43	0.7042642585	2.404844428
44	0.7126192495	2.370630767
45	0.7209953654	2.335827612
46	0.7279268869	2.306629766
47	0.7340269186	2.280625215
48	0.7398334111	2.255593532
49	0.7462969249	2.227398613
50	0.7537235117	2.194555433
51	0.7598419433	2.16712349
52	0.767853573	2.130669461
53	0.7749666438	2.097773176
54	0.7805573164	2.071551011
55	0.7863787393	2.043889046
56	0.7916858926	2.018340432
57	0.7976851006	1.989065171
58	0.8027113614	1.964201856
59	0.8070968279	1.942248362
60	0.8118892661	1.917970257
61	0.8165626422	1.893995628
62	0.8211199142	1.870320683
63	0.8269937069	1.839357001
64	0.831291832	1.816365038
65	0.8354831756	1.793660475
66	0.8395703906	1.771239718
67	0.8444707618	1.7439784
68	0.8489534687	1.718661931
69	0.852706031	1.697178657
70	0.8563653656	1.675963923
71	0.8599337886	1.655014374
72	0.8634135586	1.634326694
73	0.8668068781	1.61389761
74	0.8701158947	1.59372389
75	0.873342703	1.573802341
76	0.8764893453	1.554129811
77	0.8795578132	1.534703188
78	0.8825500488	1.515519398
79	0.885467946	1.496575405
80	0.8883133518	1.477868213
81	0.891088067	1.45939486
82	0.8937938479	1.441152424
83	0.896432407	1.423138018
84	0.8990054144	1.405348793
85	0.9015144987	1.387781932
86	0.9039612479	1.370434658
87	0.9063472107	1.353304224
88	0.9086738972	1.336387921
89	0.9109427801	1.319683072
90	0.9131552955	1.303187033
91	0.9153128436	1.286897195
92	0.9174167902	1.27081098
93	0.9194684668	1.254925843
94	0.9214691722	1.239239269
95	0.9234201724	1.223748778
96	0.9253227026	1.208451918
97	0.9271779667	1.193346269
98	0.9289871391	1.178429441
99	0.9307513649	1.163699072
100	0.9324717607	1.149152834
101	0.9341494154	1.134788423
102	0.9357853909	1.120603568
103	0.9373807226	1.106596023
104	0.9389364203	1.092763572
105	0.9404534686	1.079104027
106	0.9419328278	1.065615227
107	0.9433754341	1.052295036
108	0.9447822007	1.039141348
109	0.9461540179	1.026152081
110	0.9474917541	1.01332518
111	0.9487962558	1.000658615
112	0.9500683489	0.9881503821
113	0.9513088383	0.9757985022
114	0.9525185094	0.9636010207
115	0.9536981277	0.9515560078
116	0.9548484399	0.9396615575
117	0.955970174	0.9279157878
118	0.95706404	0.9163168403
119	0.9581307302	0.9048628796
120	0.9591709199	0.8935520935
121	0.9601852674	0.8823826921
122	0.9611744147	0.8713529083
123	0.9621389878	0.8604609968
124	0.9630795974	0.8497052342
125	0.9639968386	0.8390839186
126	0.9648912922	0.8285953695
127	0.9657635242	0.8182379272
128	0.9666140866	0.808009953
129	0.9674435179	0.7979098284
130	0.968252343	0.7879359554
131	0.9690410739	0.7780867558
132	0.9698102097	0.7683606712
133	0.9705602373	0.7587561627
134	0.9712916314	0.7492717105
135	0.972004855	0.739905814
136	0.9727003594	0.7306569912
137	0.9733785848	0.7215237786
138	0.9740399606	0.7125047313
139	0.9746849054	0.703598422
140	0.9753138273	0.6948034416
141	0.9759271244	0.6861183984
142	0.9765251849	0.6775419183
143	0.9771083873	0.6690726442
144	0.9776771008	0.6607092361
145	0.9782316854	0.6524503705
146	0.978772492	0.6442947407
147	0.9792998629	0.6362410563
148	0.9798141319	0.628288043
149	0.9803156246	0.6204344424
150	0.9808046583	0.6126790117
151	0.9812815426	0.605020524
152	0.9817465792	0.5974577673
