iter	Passed	Remaining
0	0	444
1	1	378
2	1	330
3	2	294
4	2	276
5	3	252
6	3	237
7	3	223
8	3	211
9	4	207
10	4	210
11	5	205
12	5	202
13	5	202
14	6	206
15	6	207
16	7	208
17	7	213
18	8	217
19	9	222
20	9	226
21	10	226
22	10	226
23	11	229
24	12	234
25	12	235
26	13	236
27	14	238
28	14	240
29	15	243
30	15	241
31	16	242
32	17	242
33	17	242
34	18	243
35	18	244
36	19	244
37	19	242
38	21	248
39	21	252
40	22	252
41	23	252
42	23	253
43	24	251
44	24	252
45	25	254
46	26	256
47	27	256
48	27	255
49	28	255
50	28	254
51	29	254
52	30	253
53	30	252
54	31	251
55	31	251
56	32	250
57	32	250
58	33	250
59	34	250
60	34	250
61	35	253
62	36	255
63	37	254
64	38	254
65	38	254
66	39	253
67	39	252
68	40	252
69	41	251
70	41	251
71	42	252
72	43	251
73	43	251
74	44	250
75	44	249
76	45	249
77	45	248
78	46	247
79	47	247
80	48	249
81	49	249
82	49	250
83	50	249
84	50	248
85	51	248
86	52	246
87	52	246
88	53	245
89	53	244
90	54	243
91	54	242
92	55	241
93	55	240
94	56	240
95	56	239
96	57	238
97	57	237
98	58	236
99	58	235
100	59	234
101	60	235
102	60	235
103	61	234
104	62	234
105	62	234
106	63	232
107	64	232
108	64	231
109	65	231
110	65	230
111	66	229
112	66	228
113	67	228
114	67	227
115	68	226
116	69	226
117	69	225
118	70	224
119	70	224
120	71	223
121	72	223
122	72	222
123	73	222
124	74	222
125	75	223
126	75	223
127	76	222
128	77	222
129	77	221
130	78	220
131	79	220
132	79	219
133	80	219
134	80	218
135	81	218
136	82	218
137	82	217
138	83	217
139	84	216
140	84	215
141	85	215
142	85	214
143	86	214
144	87	215
145	88	215
146	89	214
147	90	214
148	90	213
149	91	213
150	92	212
151	92	212
152	93	211
153	93	211
154	94	210
155	95	209
156	95	209
157	96	208
158	96	207
159	97	207
160	98	207
161	99	206
162	99	206
163	101	207
164	101	206
165	102	206
166	102	205
167	103	204
168	104	204
169	105	203
170	105	203
171	106	202
172	106	202
173	107	201
174	108	201
175	109	201
176	110	201
177	110	200
178	111	200
179	112	200
180	113	200
181	114	199
182	114	199
183	115	198
184	116	198
185	117	197
186	117	196
187	118	196
188	118	195
189	119	195
190	120	194
191	121	194
192	121	193
193	122	193
194	123	192
195	123	192
196	124	191
197	125	191
198	126	190
199	126	190
200	127	190
201	128	189
202	129	189
203	130	188
204	130	188
205	131	187
206	131	186
207	132	186
208	133	185
209	133	184
210	134	184
211	135	183
212	136	183
213	136	182
214	137	182
215	137	181
216	138	180
217	139	180
218	139	179
219	140	179
220	141	178
221	142	177
222	142	177
223	143	176
224	144	176
225	144	175
226	145	174
227	146	174
228	146	173
229	147	173
230	148	172
231	149	172
232	150	171
233	150	171
234	151	170
235	152	170
236	152	169
237	153	169
238	154	168
239	155	168
240	156	167
241	156	167
242	157	166
243	157	165
244	158	165
245	159	164
246	159	163
247	161	164
248	162	163
249	162	162
250	163	162
251	164	161
252	164	160
253	165	160
254	166	159
255	167	159
256	167	158
257	168	158
258	169	157
259	169	156
260	170	156
261	171	155
262	171	154
263	172	154
264	172	153
265	173	152
266	174	152
267	175	151
268	176	151
269	176	150
270	177	150
271	178	149
272	179	148
273	179	148
274	180	147
275	181	147
276	182	146
277	182	146
278	183	145
279	184	144
280	184	144
281	185	143
282	186	142
283	187	142
284	187	141
285	188	140
286	189	140
287	189	139
288	190	138
289	190	138
290	191	137
291	192	137
292	193	136
293	194	135
294	194	135
295	195	134
296	196	133
297	196	133
298	197	132
299	197	131
300	198	131
301	199	130
302	199	129
303	200	129
304	201	128
305	201	127
306	203	128
307	204	127
308	205	126
309	206	126
310	207	125
311	207	125
312	209	124
313	209	124
314	210	123
315	211	123
316	212	122
317	213	122
318	213	121
319	214	120
320	215	120
321	215	119
322	216	118
323	217	117
324	217	117
325	218	116
326	219	115
327	219	115
328	220	114
329	221	113
330	221	113
331	222	112
332	223	112
333	224	111
334	224	110
335	225	110
336	225	109
337	226	108
338	226	107
